big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.started,other_j_btn1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.835934941016603,None,space,5.441614417999517,12.835934941016603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.302603251009714,None,18.302603251009714,None,18.302603251009714,None,space,0.7565571939921938,18.302603251009714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.069584391021635,None,19.069584391021635,None,['equal'],[2.3496446069912054],19.069584391021635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.940048778022174,None,21.940048778022174,None,['equal'],[0.1637552539468743],21.940048778022174,None,21.752390892012045,None,21.752390892012045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.119351703033317,None,22.92012041399721,None,space,0.5335530919837765,22.92012041399721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.43627380602993,None,25.43627380602993,None,['equal'],[0.16671287198551],25.43627380602993,None,25.286217892018612,None,25.286217892018612,None,,,26.452533870004117,None,space,0.7178831479977816,26.452533870004117,None,23.47055057203397,None,23.47055057203397,None,23.47055057203397,None,space,0.805113798007369,23.47055057203397,None,['space'],[0.39656201598700136],25.623956764000468,None,25.623956764000468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.140479341032915,None,32.140479341032915,None,['equal'],[0.167550532030873],32.140479341032915,None,31.95232646499062,None,31.95232646499062,None,,,33.53618637903128,None,space,0.5550516080111265,33.53618637903128,None,,,,,,,,,,,['space'],[0.6068054060451686],32.319357980042696,None,32.319357980042696,None,27.187699869042262,None,27.187699869042262,None,27.187699869042262,None,space,2.081633990048431,27.187699869042262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
0,0,0,0,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53604411199922,None,37.53604411199922,None,['equal'],[0.22286017501028255],37.53604411199922,None,37.352390966028906,None,37.352390966028906,None,,,39.03545447898796,None,space,2.423404498025775,39.03545447898796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11915455298731,None,34.11915455298731,None,34.11915455298731,None,['space'],[2.2509528120281175],34.11915455298731,None,None,38.08503316703718,None,,,,,,,,,,,,,,,ATM002-2,001,2021_Jun_02_1210,ATM_main_5-19-21,2021.1.3,60.293255897186306,
