big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.531933994032443,None,1,19.987867746967822,10.531933994032443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.549340286059305,None,30.549340286059305,None,30.549340286059305,None,1,4.856109997956082,30.549340286059305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41583212604746,None,35.41583212604746,None,['equal'],[20.956736730993725],35.41583212604746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.882178721018136,None,60.882178721018136,None,['equal'],[1.5000347000313923],60.882178721018136,None,59.40265939605888,None,59.40265939605888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.39939119806513,None,369.9118303840514,None,1,4.139165363041684,369.9118303840514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.6483452380635,None,420.6483452380635,None,['equal'],[1.4852273670258],420.6483452380635,None,419.1483318010578,None,419.1483318010578,None,,,729.6400020769797,None,1,10.38460833101999,729.6400020769797,None,374.0776924700476,None,374.0776924700476,None,374.0776924700476,None,1,23.13559391500894,374.0776924700476,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.37084077997133, 45.95158576697577, 71.56790153402835, 96.38844126998447, 120.17051569197793, 146.96533368399832, 172.67110664898064, 198.48735402093735, 226.19921269302722, 253.29777715192176, 280.36894536192995, 306.93057267402764]",422.1439730380662,None,422.1439730380662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.2891002920223,None,771.2891002920223,None,['equal'],[1.4881828770739958],771.2891002920223,None,769.7889076969586,None,769.7889076969586,None,,,1080.3021767330356,None,1,8.501531895948574,1080.3021767330356,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[51.46822209702805, 86.65644877194427, 125.07131883595139, 144.517014539917, 187.05222362303175, 231.5368329490302, 286.5700390979182]",772.7888341500657,None,772.7888341500657,None,740.0428005079739,None,740.0428005079739,None,740.0428005079739,None,1,10.54886779608205,740.0428005079739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123.5678944319952,None,1123.5678944319952,None,['equal'],[1.4850854789838195],1123.5678944319952,None,1122.06799955701,None,1122.06799955701,None,,,1432.5806094149593,None,1,15.351298594963737,1432.5806094149593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.8357972210506,None,1088.8357972210506,None,1088.8357972210506,None,['1'],[14.589525939081796],1088.8357972210506,None,"['1', '1', '1', '1', '1', '1', '1']","[34.73545014404226, 39.43493033305276, 69.26744879502803, 83.00024025305174, 156.250297436025, 188.7327727630036, 221.2659149960382]",1125.501183180022,None,,,,,,,,,,,,,,,,,,,,,ATM003,001,2021_Jun_07_1129,ATM_main_5-19-21,2021.1.3,59.64618004043235,
