Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_other_title.started,[1.5001964517869055],406.4847607030533,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.285945504903793, 35.25306588690728, 46.10211867466569, 70.56843536673114, 93.4521626685746, 120.53476285375655, 127.5028625796549, 153.00654943101108, 156.9321033055894, 178.04810981592163, 196.24821189278737, 206.4821161427535, 241.09990302892402, 251.43159805471078, 257.4163181888871, 286.96739971172065, 297.14718693401664, 299.6656663478352]",408.4511929471046,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.475341278128326],765.5790840368718,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[38.95615768805146, 79.51838794676587, 117.46720529999584, 157.81496659107506, 198.17087882617489, 236.43752302182838, 273.7698602457531]",767.0633670082316,-1,-1,-1.0
9,MC_other_title.started,[1.4837896968238056],1122.1584220570512,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.118571991100907, 47.96738689113408, 71.96658009011298, 94.80043902387843, 117.06409082608297, 142.3476172448136, 166.49954461911693, 189.14658816391602, 206.86356646521017, 227.88174912380055, 251.9661213858053, 273.46453662309796, 300.8648033859208]",1123.9097247291356,-1,-1,-1.0,-1,-1,-1.0
11,MM_self_title.started,[1.492163807619363],1473.5366200418212,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[75.60595242725685, 90.94006681395695, 103.58831356838346, 132.26561784325168, 162.76652904693037, 207.63273400999606, 229.90050367219374, 261.2490341081284, 292.8993320991285]",1475.053929442074,-1,-1,-1.0
14,MM_other_title.started,[1.479427871759981],1840.8030944499187,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[27.9846918489784, 41.63375596283004, 61.28397279465571, 78.50004282593727, 87.58576239598915, 119.10111142881215, 147.86612523393705, 156.7326599578373, 181.99834467563778, 194.78161923680454, 220.58192700194195, 239.16839975398034, 255.78066418273374, 267.91813345998526, 299.84936124971136]",1842.5317001990045
16,MC_other_title.started,[1.48658005008474],2189.91067270888,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.53551122592762, 39.789062675088644, 62.25148715917021, 82.89938716311008, 104.51883302396163, 126.4848578069359, 146.99947525002062, 171.11754972301424, 190.58193279523402, 209.78434312995523, 231.14987570187077, 255.44783520884812, 280.23479035589844, 301.3639783267863]",2191.6604872262105
18,MM_self_title.started,[1.4708408368751407],2539.2385958209634,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[36.837228655815125, 77.76850327476859, 104.80060587404296, 148.81564861396328, 182.46723707579076, 219.60048655699939, 266.8333462760784, 293.5137018910609]",2540.722227348946,-1,-1,-1.0
20,MC_self_title.started,[1.4675742131657898],2907.467537118122,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.618613737169653, 63.546516362112015, 94.26302435621619, 127.3632715982385, 158.84430320421234, 190.04354559304193, 222.56334994314238, 258.1439398229122, 304.21547131985426]",2908.955509371124,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
