big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34837473090738,None,1,5.951146400999278,10.34837473090738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.331621821038425,None,16.331621821038425,None,16.331621821038425,None,1,5.5011860257945955,16.331621821038425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.853964932262897,None,21.853964932262897,None,['equal'],[22.996705550234765],21.853964932262897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37001913692802,None,49.37001913692802,None,['equal'],[1.4853754630312324],49.37001913692802,None,47.86985419783741,None,47.86985419783741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.882346655242145,None,358.3776944722049,None,1,6.385660324245691,358.3776944722049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.34853423712775,None,394.34853423712775,None,['equal'],[1.4845750480890274],394.34853423712775,None,392.84368545608595,None,392.84368545608595,None,,,703.3401226652786,None,1,2.284729052800685,703.3401226652786,None,364.78161096805707,None,364.78161096805707,None,364.78161096805707,None,1,10.253161743748933,364.78161096805707,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.919035469181836, 28.88981742830947, 50.906018855050206, 60.08847022522241, 78.77300571324304, 97.28309172438458, 113.33902194118127, 151.33242740202695, 172.77114533632994, 192.95488461712375, 201.13704973924905, 217.4497960153967, 227.9709788770415, 230.03340647323057, 246.78164091100916, 256.8651603953913, 300.4034244543873]",395.843509523198,None,395.843509523198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.6934897419997,None,741.6934897419997,None,['equal'],[1.4857789077796042],741.6934897419997,None,740.1887155501172,None,740.1887155501172,None,,,1050.7018563030288,None,1,1.8844704180955887,1050.7018563030288,None,,,,,,,,,,,,,,,,,705.6564859580249,None,705.6564859580249,None,705.6564859580249,None,1,17.01792979380116,705.6564859580249,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.967774263583124, 33.93252000398934, 56.067662436980754, 73.48374670790508, 98.26751580368727, 125.34969484899193, 141.51664224173874, 155.0169783756137, 177.38308689789847, 192.43251461582258, 212.21619187667966, 226.548157942947, 242.49777981592342, 255.93184632295743, 270.6483301999979, 289.9639312848449]",743.9895482789725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086.9344935510308,None,1086.9344935510308,None,['equal'],[1.4830372291617095],1086.9344935510308,None,1085.4343586950563,None,1085.4343586950563,None,,,1395.9474095762707,None,1,7.805238271597773,1395.9474095762707,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[31.630758102983236, 60.23107494274154, 74.45140786096454, 103.45103013562039, 133.76270673563704, 162.3807823136449, 187.09972680266947, 213.76305590802804, 243.0777599560097, 262.99213919974864, 280.06593136070296, 295.1649834769778]",1088.4387515252456,None,1088.4387515252456,None,,,,,,,,,,,,,,,1052.618006940931,None,1052.618006940931,None,1052.618006940931,None,1,14.30717309890315,1052.618006940931,None,,,,,,,,,,,,,,,,,,,,,ATM006,001,2021_Oct_14_0931,ATM_main_5-19-21,2021.1.3,59.840445960202175,
