big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.001506188884377,None,1,12.430273870937526,9.001506188884377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46903446596116,None,21.46903446596116,None,21.46903446596116,None,1,6.78556810785085,21.46903446596116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.26494789402932,None,28.26494789402932,None,['equal'],[27.38995106611401],28.26494789402932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.16498932102695,None,60.16498932102695,None,['equal'],[1.4899993077851832],60.16498932102695,None,58.664975305087864,None,58.664975305087864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.681172158103436,None,369.17646207194775,None,1,27.655028821900487,369.17646207194775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.6429763440974,None,427.6429763440974,None,['equal'],[1.4836571970954537],427.6429763440974,None,426.1427701548673,None,426.1427701548673,None,,,736.6597012290731,None,None,,736.6597012290731,None,396.8600792377256,None,396.8600792377256,None,396.8600792377256,None,1,9.556735397316515,396.8600792377256,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[32.45074562821537, 45.017514910083264, 71.65581561811268, 92.10550957219675, 112.67178672738373, 130.19946320913732, 151.34977743122727, 168.2711136522703, 178.4329104074277, 196.03298811241984, 214.26930421916768, 226.15338450437412, 245.1820873990655, 268.42064307117835, 300.34860976133496]",429.14305108692497,None,429.14305108692497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.4045149609447,None,803.4045149609447,None,['equal'],[1.4862564038485289],803.4045149609447,None,801.9095189557411,None,801.9095189557411,None,,,1112.4163605771028,None,None,,1112.4163605771028,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.065063187852502, 43.51429147599265, 66.91412984998897, 87.13060599099845, 104.76372954109684, 118.98451806884259, 136.40134437195957, 153.6289384998381, 178.9119458021596, 196.49448784906417, 217.33183070784435, 236.59471176099032, 253.0924835279584, 267.97714113490656, 278.76021564612165, 297.73108767019585]",804.9091253089719,None,804.9091253089719,None,766.6715762941167,None,766.6715762941167,None,766.6715762941167,None,1,15.984345701988786,766.6715762941167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.4372154111043,None,1174.4372154111043,None,['equal'],[1.4793735933490098],1174.4372154111043,None,1172.9325006850995,None,1172.9325006850995,None,,,1483.4445881340653,None,1,0.4692084342241287,1483.4445881340653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.4180266940966,None,1142.4180266940966,None,1142.4180266940966,None,1,9.303992230910808,1142.4180266940966,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.832196701783687, 40.11585484165698, 61.68275412172079, 81.69915151083842, 103.5992002277635, 125.84890108602121, 147.62981191603467, 176.8140332987532, 209.69757749000564, 259.3631302360445, 286.3130561038852]",1176.3680106070824,None,,,,,,,,,,,,,,,,,,,,,ATM007,001,2021_Oct_14_1923,ATM_main_5-19-21,2021.1.3,60.15729778274311,
