Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.4836571970954537],427.6429763440974,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[32.45074562821537, 45.017514910083264, 71.65581561811268, 92.10550957219675, 112.67178672738373, 130.19946320913732, 151.34977743122727, 168.2711136522703, 178.4329104074277, 196.03298811241984, 214.26930421916768, 226.15338450437412, 245.1820873990655, 268.42064307117835, 300.34860976133496]",429.14305108692497,-1,-1,-1.0,-1,-1,-1.0
7,MC_self_title.started,[1.4862564038485289],803.4045149609447,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.065063187852502, 43.51429147599265, 66.91412984998897, 87.13060599099845, 104.76372954109684, 118.98451806884259, 136.40134437195957, 153.6289384998381, 178.9119458021596, 196.49448784906417, 217.33183070784435, 236.59471176099032, 253.0924835279584, 267.97714113490656, 278.76021564612165, 297.73108767019585]",804.9091253089719,-1,-1,-1.0,-1,-1,-1.0
9,MC_other_title.started,[1.4793735933490098],1174.4372154111045,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.832196701783687, 40.11585484165698, 61.68275412172079, 81.69915151083842, 103.5992002277635, 125.84890108602121, 147.62981191603467, 176.8140332987532, 209.69757749000564, 259.3631302360445, 286.3130561038852]",1176.3680106070824,-1,-1,-1.0
11,MM_other_title.started,[1.4827432073652744],1523.2789804330096,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[40.249905785080045, 55.36859754938632, 68.00031569739804, 82.11776982201263, 155.60088321613148, 188.91706936620176, 221.03314605820924, 238.08295090310276]",1525.0277995560318,-1,-1,-1.0
14,MM_self_title.started,[1.485575216356665],1904.2233230727725,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.91848371224478, 52.828740830067545, 76.34460553107783, 83.08254384016618, 100.52647612104192, 113.91663525532931, 125.59461595444009, 136.6938277320005, 150.21094210306183, 180.5980102890171, 198.44767336919904, 218.24750451743603, 233.96570119727403, 244.5647853091359, 268.69766642618924, 282.0917458659969, 296.4759877352044]",1905.728397932835,-1,-1,-1.0,-1,-1,-1.0
16,MC_self_title.started,[1.4849814982153475],2291.155208338984,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[28.889421035069972, 51.655416460707784, 72.45043940702453, 94.14987454889342, 115.14978676987812, 137.204200246837, 160.79844021983445, 183.08672788413242, 205.13740683114156, 227.50323513383046, 249.6509187067859, 273.08047906588763, 297.1691732541658]",2292.65151144797,-1,-1,-1.0,-1,-1,-1.0
18,MM_other_title.started,[1.5001575322821736],2670.262638797052,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1']","[110.32941931625828, 152.4626380931586, 234.4445447330363, 269.9607189320959, 297.36062828311697]",2672.016895757988
20,MC_other_title.started,[1.4883280470967293],3037.724781427998,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.13544968003407, 45.50189282791689, 69.75097454478964, 92.15116039803252, 115.60061160009354, 138.48298829281703, 164.61707279691473, 187.11587654286996, 208.96467492403463, 230.1149658570066, 253.7643298781477, 281.1639300249517]",3039.47369776899
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
