Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_other_title.started,[1.4853410650976002],412.2498344248161,['1'],[209.7820744011551],414.183301448822,-1,-1,-1.0,-1,-1,-1.0
7,MM_self_title.started,[1.4687741617672145],780.9987294729799,-1,-1,-1.0,['1'],[295.6525038620457],782.4778797836043,-1,-1,-1.0
9,MC_self_title.started,[1.490259509999305],1127.0067331376486,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.25569271715358, 47.622668674215674, 82.82086556917056, 116.90010301023722, 180.3545124749653, 209.73619369789958, 235.32001871429384, 261.82022269815207, 292.3316142479889]",1128.5066116675737,-1,-1,-1.0
11,MC_other_title.started,[1.4807718228548765],1478.1230283356272,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.748651296831667, 39.31315608508885, 62.36257356218994, 77.49606447294354, 98.87918984517455, 113.42701618792489, 133.94479179289192, 174.7449517659843, 193.17810662603006, 212.5772814322263, 240.67705496307462, 269.12614011298865, 291.7268540970981, 307.24243135983124]",1479.8567595439963,-1,-1,-1.0,-1,-1,-1.0
14,MM_self_title.started,[1.4900987870059907],1831.7808267446237,-1,-1,-1.0,['1'],[155.7327642426826],1833.2809921936127,-1,-1,-1.0
16,MC_other_title.started,[1.473109916318208],2187.142313117627,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.14472524402663, 41.428559442050755, 66.6114406445995, 84.52813937701285, 107.01059492770582, 131.1102718329057, 150.39214952802286, 179.25941511103883, 201.2931512617506, 231.37573922798038, 264.45814757887274, 299.2249768306501]",2188.865715708584
18,MM_other_title.started,[1.473093831911683],2530.2877905257046,-1,-1,-1.0,-1,-1,-1.0,['1'],[197.0333340326324],2532.020802057814
20,MC_self_title.started,[1.4738829140551388],2871.882573399693,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.60579945985228, 37.4392456500791, 47.888282869942486, 67.80085815908387, 86.61731078196317, 105.21679321909323, 125.21673785010353, 147.6200771681033, 160.4198541548103, 189.49674010882154, 226.4529387219809, 262.2149785622023, 275.91901930607855, 303.0790524762124]",2873.366971847601,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
