big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.045825350098312,None,1,5.27150082308799,10.045825350098312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.350979551207274,None,15.350979551207274,None,15.350979551207274,None,1,7.596437178086489,15.350979551207274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96226602094248,None,22.96226602094248,None,['equal'],[22.23936801496893],22.96226602094248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.71146970009431,None,49.71146970009431,None,['equal'],[1.4853812521323562],49.71146970009431,None,48.2158691030927,None,48.2158691030927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.21139621222392,None,358.7241476941854,None,1,12.385457107797265,358.7241476941854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.2735282140784,None,422.2735282140784,None,['equal'],[1.4998038858175278],422.2735282140784,None,420.7903320873156,None,420.7903320873156,None,,,731.3017712691799,None,1,15.257854256313294,731.3017712691799,None,371.14121574908495,None,371.14121574908495,None,371.14121574908495,None,['1'],[25.949406231753528],371.14121574908495,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.478206078056246, 47.27646793611348, 69.21109975827858, 83.20960624702275, 112.52786213904619, 156.42621624935418, 188.77540047094226, 222.1773764952086, 237.90998138301075]",424.21260638395324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0176871689036,None,791.0176871689036,None,['equal'],[1.4918717611581087],791.0176871689036,None,789.5176874781027,None,789.5176874781027,None,,,1100.0312170409597,None,1,20.705909213982522,1100.0312170409597,None,,,,,,,,,,,,,,,746.5863699289039,None,746.5863699289039,None,746.5863699289039,None,1,22.801281141117215,746.5863699289039,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.85178906703368, 63.4668896519579, 90.10511396313086, 121.28644715808332, 136.75030021183193, 159.64946005307138, 216.38685307092965, 252.33656455902383, 275.3362855250016, 302.9191559157334]",792.5184812298976,None,792.5184812298976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.164068303071,None,1155.164068303071,None,['equal'],[1.4851721273735166],1155.164068303071,None,1153.6643381873146,None,1153.6643381873146,None,,,1464.1601963150315,None,1,24.518715721089393,1464.1601963150315,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[79.58812658116221, 107.83422870421782, 121.13373142387718, 140.12121640425175, 150.83340697502717, 172.7699592350982, 182.71682760398835, 194.24749316833913, 204.45406673895195, 228.96631955215707, 236.87089685210958, 248.28726538829505, 262.3705444089137, 271.79861060297117, 278.91505299229175, 289.0367871671915, 302.3365278071724]",1156.6636125640944,None,1156.6636125640944,None,1120.764381497167,None,1120.764381497167,None,1120.764381497167,None,1,12.5045199659653,1120.764381497167,None,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
