big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.404180302284658,None,1,5.52020627213642,10.404180302284658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.957949338015169,None,15.957949338015169,None,15.957949338015169,None,1,12.849383325781673,15.957949338015169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.821675117127597,None,28.821675117127597,None,['equal'],[22.68418261781335],28.821675117127597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.02110401913524,None,56.02110401913524,None,['equal'],[1.4869863619096577],56.02110401913524,None,54.521065223030746,None,54.521065223030746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.521326516289264,None,365.0354953589849,None,1,3.4000216550193727,365.0354953589849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.35073037305847,None,410.35073037305847,None,['equal'],[1.4846165389753878],410.35073037305847,None,408.85608273604885,None,408.85608273604885,None,,,719.3629920920357,None,1,3.090538125950843,719.3629920920357,None,368.4526385134086,None,368.4526385134086,None,368.4526385134086,None,1,30.931169351097196,368.4526385134086,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.784441934432834, 34.11730718705803, 50.56644554808736, 66.1675933310762, 80.71661989018321, 96.69019743613899, 114.3186305873096, 130.50173419201747, 148.68341111205518, 165.3721663071774, 181.41684323223308, 198.58132996736094, 214.01630461635068, 229.3979190234095, 244.20418661925942, 258.95503236120567, 274.2376699661836, 292.12012048298493, 307.14511177828535]",411.8509708833881,None,411.8509708833881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.2785580321215,None,766.2785580321215,None,['equal'],[1.491376700811088],766.2785580321215,None,764.7786464951932,None,764.7786464951932,None,,,1075.2915087300353,None,1,2.0908425338566303,1075.2915087300353,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[73.73679876700044, 101.85350340977311, 121.06781935691833, 131.05323916487396, 147.63607906596735, 160.2574241948314, 173.57439251197502, 197.0001931861043, 210.93518650718033, 221.93342112377286, 238.44856377877295, 246.47291482286528, 298.79815750801936]",767.7780065070838,None,767.7780065070838,None,722.48073738534,None,722.48073738534,None,722.48073738534,None,1,25.906828470062464,722.48073738534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.7306247833185,None,1119.7306247833185,None,['equal'],[1.4789865082129836],1119.7306247833185,None,1118.2236166060902,None,1118.2236166060902,None,,,1428.7356988862157,None,1,3.6399166081100702,1428.7356988862157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1077.4094302221201,None,1077.4094302221201,None,1077.4094302221201,None,1,27.448559775948524,1077.4094302221201,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.917779576033354, 46.67016268800944, 71.90305017028004, 94.15095530217513, 112.99951396835968, 134.15254333801568, 162.11884972127154, 184.36768621206284, 206.6988453892991, 226.71633810922503, 250.5502104293555, 272.832583935, 294.20047799590975]",1121.674412499182,None,,,,,,,,,,,,,,,,,,,,,ATM012,001,2021_Nov_04_1510,ATM_main_5-19-21,2021.1.3,59.99911812498956,
