big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.521274272352457,None,1,3.119812714867294,11.521274272352457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.67428892524913,None,14.67428892524913,None,14.67428892524913,None,1,8.780419818125665,14.67428892524913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.46930027892813,None,23.46930027892813,None,['equal'],[21.856064007151872],23.46930027892813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.835176744963974,None,49.835176744963974,None,['equal'],[1.489310398697853],49.835176744963974,None,48.3355959802866,None,48.3355959802866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35229168320075,None,358.8479272662662,None,1,13.704236275982112,358.8479272662662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.564279417973,None,409.564279417973,None,['equal'],[1.4897430511191487],409.564279417973,None,408.06397498911247,None,408.06397498911247,None,,,718.5763129219413,None,None,,718.5763129219413,None,372.58082520309836,None,372.58082520309836,None,372.58082520309836,None,1,23.75215495796874,372.58082520309836,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.65385613264516, 46.9523160145618, 70.50083003286272, 93.36707313777879, 116.20132798654959, 140.78339121956378, 165.7331355479546, 188.01630321890116, 210.94925801362842, 231.68209265591577, 255.18124748766422, 277.23134585889056, 304.46535088075325]",411.3969485173002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0919415312819,None,812.0919415312819,None,['equal'],[1.504237525165081],812.0919415312819,None,810.6089136423543,None,810.6089136423543,None,,,1121.121382269077,None,1,7.823105885181576,1121.121382269077,None,,,,,,,,,,,,,,,748.5774343642406,None,748.5774343642406,None,748.5774343642406,None,1,44.287534101866186,748.5774343642406,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.33530620485544, 57.05589284328744, 83.98418249608949, 102.16741593927145, 162.4866561400704, 183.9713705489412, 203.81603108812124, 223.53514317423105, 237.74928523786366, 251.7819605190307, 278.5372605891898, 298.2867970960215]",813.6082749720663,None,813.6082749720663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.125313301105,None,1152.125313301105,None,['equal'],[1.4806948080658913],1152.125313301105,None,1150.6204476621933,None,1150.6204476621933,None,,,1461.137862408068,None,1,10.747303774114698,1461.137862408068,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[33.06366055086255, 63.04610156593844, 92.78388929087669, 123.31671028584242, 152.87908733868971, 170.41135876672342, 193.0609324760735, 211.1480074818246, 235.19872440304607, 253.66541704675183, 272.69244795897976, 303.31024128198624]",1153.6254007001407,None,1153.6254007001407,None,1128.9707040591165,None,1128.9707040591165,None,1128.9707040591165,None,1,9.26699989195913,1128.9707040591165,None,,,,,,,,,,,,,,,,,,,,,ATM013,001,2021_Nov_04_1733,ATM_main_5-19-21,2021.1.3,59.990913102312135,
