big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.767340173944831,None,1,9.987703006714582,8.767340173944831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.781024971976876,None,18.781024971976876,None,18.781024971976876,None,1,8.107298591174185,18.781024971976876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.89779310580343,None,26.89779310580343,None,['equal'],[21.218790176324546],26.89779310580343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.63098197802901,None,52.63098197802901,None,['equal'],[1.4890332911163568],52.63098197802901,None,51.13143737334758,None,51.13143737334758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.147496692836285,None,361.643446049653,None,1,7.334947340190411,361.643446049653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.02565646730363,None,418.02565646730363,None,['equal'],[1.5000763768330216],418.02565646730363,None,416.54772869404405,None,416.54772869404405,None,,,727.0553756393492,None,1,29.601719754748046,727.0553756393492,None,368.9956515803933,None,368.9956515803933,None,368.9956515803933,None,1,30.414384330622852,368.9956515803933,None,['1'],[129.91238764021546],419.5470720520243,None,419.5470720520243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.1714483164251,None,797.1714483164251,None,['equal'],[1.4735121689736843],797.1714483164251,None,795.6540928361937,None,795.6540928361937,None,,,1106.1665174262598,None,1,24.306279195472598,1106.1665174262598,None,,,,,,,,,,,,,,,,,756.6883625676855,None,756.6883625676855,None,756.6883625676855,None,1,27.302537836134434,756.6883625676855,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.414191350340843, 46.280119012109935, 92.9294236311689, 115.76084341015667, 139.99496113602072, 160.32872588839382, 183.07892511039972, 205.8954266132787, 227.77687510848045, 250.4764569317922, 270.52722197491676]",799.092355475761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.9157202821225,None,1166.9157202821225,None,['equal'],[1.4833925170823932],1166.9157202821225,None,1165.4200801439583,None,1165.4200801439583,None,,,1475.9287429889664,None,1,29.08858004398644,1475.9287429889664,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.385142927989364, 43.56801169086248, 64.41801135335118, 87.19441210199147, 105.74674178287387, 124.89591368474066, 143.99612230155617, 163.5949768833816, 181.42916215024889, 216.89962420240045, 234.58262461051345, 262.848406996578, 277.3996979435906, 292.59375715162605]",1168.4201154774055,None,1168.4201154774055,None,,,,,,,,,,,,,,,1130.499284424819,None,1130.499284424819,None,1130.499284424819,None,1,23.400025283917785,1130.499284424819,None,,,,,,,,,,,,,,,,,,,,,ATM014,001,2021_Nov_08_1527,ATM_main_5-19-21,2021.1.3,59.985003383571005,
