big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.686698493547738,None,1,10.05360808223486,9.686698493547738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76970582921058,None,19.76970582921058,None,19.76970582921058,None,1,5.502732978202403,19.76970582921058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.293883211910725,None,25.293883211910725,None,['equal'],[21.21228322107345],25.293883211910725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02189374808222,None,51.02189374808222,None,['equal'],[1.4822670072317123],51.02189374808222,None,49.51927287038416,None,49.51927287038416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52460531052202,None,360.03786885086447,None,1,4.911405986174941,360.03786885086447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.5169274825603,None,405.5169274825603,None,['equal'],[1.4836812354624271],405.5169274825603,None,404.01551704574376,None,404.01551704574376,None,,,714.5286800218746,None,1,7.949070988222957,714.5286800218746,None,364.9720651926473,None,364.9720651926473,None,364.9720651926473,None,1,26.167259396985173,364.9720651926473,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.91826431825757, 39.19920281227678, 62.483285701833665, 81.95132572948933, 104.34833122603595, 125.64989325404167, 146.69811227545142, 175.6666071685031, 193.44788541272283, 215.36280187778175, 234.9652549950406, 265.2794246254489, 287.0647980161011, 305.0277154510841]",407.4495898419991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.661922882311,None,751.661922882311,None,['equal'],[1.4833440566435456],751.661922882311,None,750.1614397913218,None,750.1614397913218,None,,,1060.6740670902655,None,1,9.04001628793776,1060.6740670902655,None,,,,,,,,,,,,,,,722.5002038981766,None,722.5002038981766,None,722.5002038981766,None,1,14.89310171827674,722.5002038981766,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[14.252749503590167, 29.146646769717336, 44.05185766145587, 58.99728037510067, 74.01253690198064, 89.19537903927267, 104.00149430707097, 119.09274410363287, 134.07733060698956, 149.0128147220239, 164.04400187544525, 178.91261370666325, 194.0664279051125, 209.06073053460568, 223.89455575775355, 238.9670911571011, 253.94845582731068, 269.2097812658176, 284.22585282474756, 299.365050682798]",753.1658245101571,None,753.1658245101571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.7889881655574,None,1092.7889881655574,None,['equal'],[1.4874416319653392],1092.7889881655574,None,1091.291293756105,None,1091.291293756105,None,,,1401.785585544072,None,1,5.071989171206951,1401.785585544072,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.9518465353176, 54.48494916129857, 61.81819776818156, 94.06866785045713, 131.28599556628615, 157.21702990494668, 197.35563903860748, 214.43460481986403, 227.43996836338192, 245.4371222741902, 281.0000835712999, 290.1465505817905, 302.88289544917643]",1094.2888927925378,None,1094.2888927925378,None,1069.7405530652031,None,1069.7405530652031,None,1069.7405530652031,None,1,9.85675965808332,1069.7405530652031,None,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.6843766430393,None,1435.6843766430393,None,['equal'],[1.4850400108844042],1435.6843766430393,None,1434.1844182414934,None,1434.1844182414934,None,,,1744.6982223056257,None,1,7.867436703294516,1744.6982223056257,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1']","[40.08438180293888, 74.33369459304959, 82.93497491814196, 155.65141155663878, 188.7494347942993, 221.18133723177016, 238.533496260643]",1437.4348358549178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.8873052680865,None,1406.8873052680865,None,1406.8873052680865,None,['1'],[7.839539188891649],1406.8873052680865,None,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM015,001,2021_Nov_09_1754,ATM_main_5-19-21,2021.1.3,60.0762143148696,
