big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.005203772336245,None,1,13.885153843089938,11.005203772336245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.921120502986014,None,24.921120502986014,None,24.921120502986014,None,1,22.037998262792826,24.921120502986014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9706237539649,None,46.9706237539649,None,['equal'],[9.289508075453341],46.9706237539649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.774667201563716,None,60.774667201563716,None,['equal'],[1.4804336177185178],60.774667201563716,None,59.27029559575021,None,59.27029559575021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.26948498841375,None,369.78274602256715,None,None,369.78274602256715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.63041577581316,None,464.63041577581316,None,['equal'],[1.4891419289633632],464.63041577581316,None,463.1364431725815,None,463.1364431725815,None,,,773.6437193220481,None,None,773.6437193220481,None,399.783440830186,None,399.783440830186,None,399.783440830186,None,1,51.78382978588343,399.783440830186,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.668098341673613, 44.76811091415584, 66.15117810759693, 86.58229759614915, 109.450568087399, 130.21616994030774, 150.91627690009773, 179.03152041416615, 196.78163116890937, 218.24854404386133, 239.93140407837927, 265.33075251895934, 291.48048899136484]",466.61480680387467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.6471989480779,None,837.6471989480779,None,['equal'],[1.467801310122013],837.6471989480779,None,836.1429041586816,None,836.1429041586816,None,,,1146.6376516744494,None,None,1146.6376516744494,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[47.34512485936284, 78.07818950060755, 85.27620138414204, 156.7267786329612, 182.89333495590836, 191.87513556331396, 265.09216577745974, 284.35788783058524]",839.3654861068353,None,803.6604537442327,None,803.6604537442327,None,803.6604537442327,None,['1'],[20.91786438692361],803.6604537442327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
0,0,0,0,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.9084464618936,None,1237.9084464618936,None,['equal'],[1.4790599327534437],1237.9084464618936,None,1236.4034007238224,None,1236.4034007238224,None,,,1546.921235781163,None,None,1546.921235781163,None,,,,,,,,,,,,,,,,,,,,,,,,,1176.6395400809124,None,1176.6395400809124,None,1176.6395400809124,None,1,48.180683557875454,1176.6395400809124,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[96.05132925789803, 135.82137344870716, 175.5048996694386, 213.06564953364432, 236.15434367209673, 257.9534840192646, 267.66516384482384, 300.69839206244797]",1239.402996931225,None,1239.402996931225,None,,,,,,,,,,,,,,,,,,,,,ATM017,001,2021_Nov_19_1700,ATM_main_5-19-21,2021.1.3,60.07945611236311,
