big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.40752010885626,None,1,3.948111727833748,10.40752010885626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.391897482797503,None,14.391897482797503,None,14.391897482797503,None,1,6.4834974482655525,14.391897482797503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.887691732496023,None,20.887691732496023,None,['equal'],[18.418442669324577],20.887691732496023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.820887081325054,None,43.820887081325054,None,['equal'],[1.4852806245908141],43.820887081325054,None,42.32083809003234,None,42.32083809003234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.321000611409545,None,352.8163928790018,None,1,14.139838309958577,352.8163928790018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.49910746794194,None,395.49910746794194,None,['equal'],[1.4853497510775924],395.49910746794194,None,393.9999939892441,None,393.9999939892441,None,,,704.511085039936,None,1,12.190758735872805,704.511085039936,None,366.98295802343637,None,366.98295802343637,None,366.98295802343637,None,1,14.799919035285711,366.98295802343637,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.552140715532005, 40.13555802311748, 61.53544850368053, 82.11816965322942, 104.38442410156131, 126.05114431679249, 146.28347955830395, 174.74959707073867, 193.1499711982906, 213.59891439788043, 235.08062208723277, 259.69907808303833, 282.38252453226596, 304.8645342094824]",397.4323229165748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.6107746781781,None,744.6107746781781,None,['equal'],[1.4736092211678624],744.6107746781781,None,743.1112723993137,None,743.1112723993137,None,,,1053.6070899441838,None,1,28.33976765908301,1053.6070899441838,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.401878299191594, 77.06778687797487, 83.31795726530254, 143.6839515073225, 156.35000410769135, 182.0160164507106, 189.11578108370304, 204.08319342602044, 221.41628433577716, 239.68140120245516, 303.14792373403907]",746.3443296030164,None,716.7291413489729,None,716.7291413489729,None,716.7291413489729,None,['1'],[14.282924053259194],716.7291413489729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.4392703156918,None,1113.4392703156918,None,['equal'],[1.4893042976036668],1113.4392703156918,None,1111.9398319730535,None,1111.9398319730535,None,,,1422.4360174182802,None,1,21.93221744056791,1422.4360174182802,None,,,,,,,,,,,,,,,,,,,,,,,,,1081.9730875780806,None,1081.9730875780806,None,1081.9730875780806,None,1,17.267200952395797,1081.9730875780806,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.15121219214052, 54.01726475916803, 78.16750255972147, 104.00385437346995, 128.63849708344787, 154.93746274150908, 177.41634016484022, 203.11610012687743, 222.33641604427248, 246.27969667688012, 284.11509733181447, 303.03517431020737]",1114.939677985385,None,1114.939677985385,None,,,,,,,,,,,,,,,,,,,,,ATM020,001,2021_Dec_07_1722,ATM_main_5-19-21,2021.1.3,60.117872687779716,
