big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.620720458216965,None,1,5.985868840478361,8.620720458216965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.633395280689001,None,14.633395280689001,None,14.633395280689001,None,1,8.98884736187756,14.633395280689001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63288354780525,None,23.63288354780525,None,['equal'],[16.00218141824007],23.63288354780525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.153842974454165,None,44.153842974454165,None,['equal'],[1.4803601130843163],44.153842974454165,None,42.64851881749928,None,42.64851881749928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.648927092552185,None,353.16157985758036,None,1,7.822883647866547,353.16157985758036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.47807108704,None,391.47807108704,None,['equal'],[1.4896818036213517],391.47807108704,None,389.977028766647,None,389.977028766647,None,,,700.4896020414308,None,1,4.252499415539205,700.4896020414308,None,361.01159279607236,None,361.01159279607236,None,361.01159279607236,None,['1'],[16.336863772012293],361.01159279607236,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[10.250404777936637, 30.86575486138463, 41.067125314846635, 56.64910580497235, 84.53100753109902, 139.565422530286, 157.5985246859491, 189.58215616829693, 220.28116335906088, 238.0335609484464, 239.39796858560294, 248.28141385130584]",393.41229214239866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.7566092731431,None,740.7566092731431,None,['equal'],[1.4860707633197308],740.7566092731431,None,739.2557791760191,None,739.2557791760191,None,,,1049.7682081321254,None,1,11.306159290485084,1049.7682081321254,None,,,,,,,,,,,,,,,704.7729789838195,None,704.7729789838195,None,704.7729789838195,None,1,22.583264828659594,704.7729789838195,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.103043926879764, 44.66783388052136, 68.83452323731035, 99.25367617700249, 128.72150017507374, 157.30506213661283, 187.37062609754503, 214.78225449752063, 243.6320939026773, 277.2489748271182]",742.2552252402529,None,742.2552252402529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.2551072360948,None,1088.2551072360948,None,['equal'],[1.4811365380883217],1088.2551072360948,None,1086.7556112399325,None,1086.7556112399325,None,,,1397.3471223637462,None,1,4.803768951445818,1397.3471223637462,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.662588201463223, 39.54613614547998, 61.66171692498028, 83.16089784819633, 103.8603669675067, 124.6938568931073, 148.29362391121686, 174.72733824141324, 196.77690079901367, 217.5765978358686, 238.82400382030755, 268.9093050751835, 298.54195756744593]",1089.9903753828257,None,,,,,,,,,,,,,,,,,1061.101197168231,None,1061.101197168231,None,1061.101197168231,None,1,13.91933970618993,1061.101197168231,None,,,,,,,,,,,,,,,,,,,,,ATM023,001,2022_Jun_29_0959,ATM_main_5-19-21,2021.1.3,60.361734226657454,
