big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.525800930336118,None,1,7.4169052029028535,8.525800930336118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.980063404887915,None,15.980063404887915,None,15.980063404887915,None,1,18.830430381931365,15.980063404887915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.83005088660866,None,34.83005088660866,None,['equal'],[12.528617337346077],34.83005088660866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.87971504870802,None,51.87971504870802,None,['equal'],[1.4847781285643578],51.87971504870802,None,50.38020396977663,None,50.38020396977663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.39225621894002,None,360.8881068220362,None,None,360.8881068220362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.90319866128266,None,434.90319866128266,None,['equal'],[1.4853264298290014],434.90319866128266,None,433.40325556043535,None,433.40325556043535,None,,,743.9151950022206,None,None,743.9151950022206,None,390.8885779893026,None,390.8885779893026,None,390.8885779893026,None,1,29.702923752367496,390.8885779893026,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.30124122928828, 45.34934691153467, 64.93391642626375, 85.9833521163091, 108.38322029821575, 129.9848902206868, 151.59968923870474, 181.99834260344505, 200.03231631126255, 221.66485785413533, 243.6473279306665, 270.2815371463075, 290.4641245184466]",436.903784558177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.598239004612,None,800.598239004612,None,['equal'],[1.4899554392322898],800.598239004612,None,799.0980575075373,None,799.0980575075373,None,,,1109.610773802735,None,None,1109.610773802735,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[40.184801555238664, 68.33539707586169, 84.51765850000083, 143.18378133606166, 182.24959515966475, 226.98222575895488, 264.4312848979607, 288.8812217367813]",802.3475555088371,None,773.931879802607,None,773.931879802607,None,773.931879802607,None,['1'],[13.838137740269303],773.931879802607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.8805972896516,None,1196.8805972896516,None,['equal'],[1.485617003403604],1196.8805972896516,None,1195.380447730422,None,1195.380447730422,None,,,1505.887992521748,None,None,1505.887992521748,None,,,,,,,,,,,,,,,,,,,,,,,,,1139.6125054461882,None,1139.6125054461882,None,1139.6125054461882,None,1,44.379715118557215,1139.6125054461882,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.555686458945274, 63.11724018026143, 95.56770573649555, 126.33723812084645, 154.71638594474643, 181.7042268551886, 210.96930393762887, 240.28071852773428, 274.4487427091226]",1198.3761217771098,None,1198.3761217771098,None,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.5210220497102,None,1571.5210220497102,None,['equal'],[1.482380480505526],1571.5210220497102,None,1570.0206544315442,None,1570.0206544315442,None,,,1880.5373024558648,None,None,1880.5373024558648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1']","[70.8636248940602, 151.18223707657307, 212.97853152547032, 270.79455393739045, 296.64804463647306]",1573.0248904069886,None,1573.0248904069886,None,1535.8903262149543,None,1535.8903262149543,None,1535.8903262149543,None,1,16.853310802020133,1535.8903262149543,None,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1936.9656838066876,None,1936.9656838066876,None,['equal'],[1.48366669844836],1936.9656838066876,None,1935.4704437926412,None,1935.4704437926412,None,,,2245.977819312364,None,None,2245.977819312364,None,,,,,,,,,,,,,,,1910.5319569297135,None,1910.5319569297135,None,1910.5319569297135,None,['1'],[12.283545455895364],1910.5319569297135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[51.58464662823826, 90.64983846433461, 111.99988017883152, 151.73184947296977, 205.69846969749779, 230.91529403440654, 269.41447697021067, 295.9312737910077]",1938.6991834379733,None,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2297.7650003051385,None,2297.7650003051385,None,['equal'],[1.4796147011220455],2297.7650003051385,None,2296.2654499132186,None,2296.2654499132186,None,,,2606.7723402390257,None,None,2606.7723402390257,None,2275.9940650518984,None,2275.9940650518984,None,2275.9940650518984,None,1,7.384369623847306,2275.9940650518984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.784980493597686, 46.96861189696938, 70.66789473034441, 93.76775738503784, 117.26739748101681, 140.64894164726138, 166.28259903844446, 188.33239324390888, 210.3980261562392, 232.21617436036468, 260.46544963587075, 283.29815547633916]",2299.5100844381377,None,,,,,,,ATM025,001,2022_Jul_05_1012,ATM_main_5-19-21,2021.1.3,59.935613561738315,
