big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.started,break_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,break_btn.rt,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.331696989014745,None,1,3.8860422736033797,8.331696989014745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.247772389091551,None,12.247772389091551,None,12.247772389091551,None,1,9.352439941838384,12.247772389091551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.61979289073497,None,21.61979289073497,None,['equal'],[16.14445847272873],21.61979289073497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.28181578125805,None,42.28181578125805,None,['equal'],[1.4877514271065593],42.28181578125805,None,40.78139641787857,None,40.78139641787857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.797246797941625,None,351.2938089063391,None,None,351.2938089063391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.5921469954774,None,434.5921469954774,None,['equal'],[1.4850139366462827],434.5921469954774,None,433.0966742904857,None,433.0966742904857,None,,,743.606206045486,None,None,743.606206045486,None,381.29460747912526,None,381.29460747912526,None,381.29460747912526,None,1,22.355478403158486,381.29460747912526,None,"['1', '1', '1']","[124.23871738836169, 194.56517341174185, 252.96383222471923]",436.09214579407126,None,436.09214579407126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.0871181050315,None,813.0871181050315,None,['equal'],[1.484802097082138],813.0871181050315,None,811.5865124249831,None,811.5865124249831,None,,,1122.0985315423459,None,1,1122.0985315423459,None,,,,,,,,,,,,,,,,,773.6056394679472,None,773.6056394679472,None,773.6056394679472,None,1,25.85704969894141,773.6056394679472,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.650903991423547, 43.150194647721946, 65.78358579147607, 112.43390329461545, 131.3334330311045, 151.9333958607167, 181.26545502152294, 199.36343846842647, 247.04801238048822, 276.44689742848277]",814.9046302419156,None,20.824005980975926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
0,0,0,0,,,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.6992438286543,None,1169.6992438286543,None,['equal'],[1.5056183226406574],1169.6992438286543,None,1168.2196870278567,None,1168.2196870278567,None,,,1478.7111842613667,None,None,1478.7111842613667,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1']","[25.338023231364787, 43.43884370755404, 86.18334216997027, 155.6498717404902, 185.34798963181674, 199.94842639565468, 259.43444092199206, 297.4518250031397]",1171.2157967463136,None,1171.2157967463136,None,,,,,,,,,,,,,,,,1142.94890768826,None,1142.94890768826,None,1142.94890768826,None,1,12.083680288866162,1142.94890768826,None,,,,,,,,,,,,,,,,,,,,,ATM026,001,2022_Jul_05_1230,ATM_main_5-19-21,2021.1.3,59.95666491905501,
