Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4853497510775924],395.49910746794194,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.552140715532005, 40.13555802311748, 61.53544850368053, 82.11816965322942, 104.38442410156131, 126.05114431679249, 146.28347955830395, 174.74959707073867, 193.1499711982906, 213.59891439788043, 235.08062208723277, 259.69907808303833, 282.38252453226596, 304.8645342094824]",397.4323229165748,-1,-1,-1.0,-1,-1,-1.0
7,MM_other_title.started,[1.4736092211678624],744.6107746781781,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[41.401878299191594, 77.06778687797487, 83.31795726530254, 143.6839515073225, 156.35000410769135, 182.0160164507106, 189.11578108370304, 204.08319342602044, 221.41628433577716, 239.68140120245516, 303.14792373403907]",746.3443296030164,-1,-1,-1.0,-1,-1,-1.0
9,MC_self_title.started,[1.4893042976036668],1113.4392703156918,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.15121219214052, 54.01726475916803, 78.16750255972147, 104.00385437346995, 128.63849708344787, 154.93746274150908, 177.41634016484022, 203.11610012687743, 222.33641604427248, 246.27969667688012, 284.11509733181447, 303.03517431020737]",1114.939677985385,-1,-1,-1.0
11,MM_self_title.started,[1.4801981439813972],1470.4901040801778,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[72.72283143177629, 111.13428009022027, 131.8051904225722, 157.68453073501587, 171.93299438152462, 231.80405904818326, 246.19897829182446, 257.01635563373566, 274.36575846746564, 293.9323330698535]",1471.9840367939323,-1,-1,-1.0
14,MM_other_title.started,[1.4849337311461568],1828.8304182598367,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[36.60082288924605, 56.015956634655595, 85.63399981614202, 98.9327455572784, 110.66637231130153, 136.00030146352947, 152.24929806310683, 180.50189622025937, 196.41548052988946, 210.24921779707074, 226.4151683775708, 255.04808148927987, 271.8135544825345, 277.0465164296329]",1830.580230860971
16,MM_self_title.started,[1.485259898006916],2186.562710770406,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[50.500990368425846, 77.40015201456845, 102.37086280994117, 118.93668270111084, 131.7374375546351, 140.9989173868671, 156.8494582688436, 170.06529308110476, 184.28241563495249, 197.7815293278545, 204.6483870409429, 221.13188613858074, 241.48087835032493, 253.465830960311, 274.2976351575926, 286.1019587982446]",2188.0589303728198,-1,-1,-1.0
18,MC_self_title.started,[1.490725432522595],2535.4529713103548,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.40259063616395, 40.756333358585835, 58.389255992136896, 76.25143988989294, 92.08814724069089, 121.971465094015, 137.0375429522246, 151.78374015633017, 165.73165039811283, 174.0713065508753, 190.20494015980512, 253.86550867184997, 273.13642426300794, 305.2020359849557]",2536.953229502775,-1,-1,-1.0
20,MC_other_title.started,[1.4825485916808248],2880.4500355990604,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.168003953061998, 47.25097745470703, 71.3346042977646, 93.81777629163116, 116.48355567827821, 140.71786517184228, 166.4160085991025, 188.332373669371, 210.73093535844237, 231.7154549797997, 255.0157965188846, 278.0808795467019, 305.43128552660346]",2882.1991091584787
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
