Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,break_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,MM_other_body.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_other_title.started,[1.4853264298290014],434.90319866128266,743.9151950022206,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[22.30124122928828, 45.34934691153467, 64.93391642626375, 85.9833521163091, 108.38322029821575, 129.9848902206868, 151.59968923870474, 181.99834260344505, 200.03231631126255, 221.66485785413533, 243.6473279306665, 270.2815371463075, 290.4641245184466]",436.903784558177,-1.0,-1,-1,-1.0,-1,-1,-1.0
7,MM_other_title.started,[1.4899554392322898],800.598239004612,1109.610773802735,"['1', '1', '1', '1', '1', '1', '1', '1']","[40.184801555238664, 68.33539707586169, 84.51765850000083, 143.18378133606166, 182.24959515966475, 226.98222575895488, 264.4312848979607, 288.8812217367813]",802.3475555088371,773.931879802607,-1,-1,-1.0,-1,-1,-1.0
9,MC_self_title.started,[1.485617003403604],1196.8805972896516,1505.887992521748,-1,-1,-1.0,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.555686458945274, 63.11724018026143, 95.56770573649555, 126.33723812084645, 154.71638594474643, 181.7042268551886, 210.96930393762887, 240.28071852773428, 274.4487427091226]",1198.3761217771098,-1,-1,-1.0
11,MM_self_title.started,[1.482380480505526],1571.5210220497102,1880.5373024558648,-1,-1,-1.0,-1.0,"['1', '1', '1', '1', '1']","[70.8636248940602, 151.18223707657307, 212.97853152547032, 270.79455393739045, 296.64804463647306]",1573.0248904069886,-1,-1,-1.0
14,MM_other_title.started,[1.48366669844836],1936.965683806688,2245.977819312364,-1,-1,-1.0,1910.5319569297133,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[51.58464662823826, 90.64983846433461, 111.99988017883152, 151.73184947296977, 205.69846969749779, 230.91529403440654, 269.41447697021067, 295.9312737910077]",1938.6991834379733
16,MC_other_title.started,[1.4796147011220455],2297.7650003051385,2606.7723402390257,-1,-1,-1.0,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.784980493597686, 46.96861189696938, 70.66789473034441, 93.76775738503784, 117.26739748101681, 140.64894164726138, 166.28259903844446, 188.33239324390888, 210.3980261562392, 232.21617436036468, 260.46544963587075, 283.29815547633916]",2299.5100844381377
18,MC_self_title.started,[1.4849040070548654],2675.3264721874148,2984.33436787501,-1,-1,-1.0,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1']","[32.350756478495896, 80.65567448083311, 111.96684005577117, 156.85002579260617, 187.46673395857215, 219.165851470083, 248.96624481398612, 279.0693092616275]",2676.82162133418,-1,-1,-1.0
20,MM_self_title.started,[1.484276082366705],3045.0669752340764,3354.061979365535,-1,-1,-1.0,-1.0,"['1', '1', '1', '1', '1', '1']","[77.76586285699159, 121.23445868771523, 156.6206015245989, 183.67012491170317, 243.0490934625268, 294.76501919236034]",3046.5664568888023,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1.0
