Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,break_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,MM_other_body.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.4850139366462827],434.5921469954774,743.606206045486,"['1', '1', '1']","[124.23871738836169, 194.56517341174185, 252.96383222471923]",436.09214579407126,-1,-1,-1.0,-1.0,-1,-1,-1.0
7,MC_other_title.started,[1.484802097082138],813.0871181050315,1122.098531542346,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.650903991423547, 43.150194647721946, 65.78358579147607, 112.43390329461545, 131.3334330311045, 151.9333958607167, 181.26545502152294, 199.36343846842647, 247.04801238048822, 276.44689742848277]",814.9046302419156,-1.0,-1,-1,-1.0
9,MC_self_title.started,[1.5056183226406574],1169.6992438286543,1478.7111842613667,"['1', '1', '1', '1', '1', '1', '1', '1']","[25.338023231364787, 43.43884370755404, 86.18334216997027, 155.6498717404902, 185.34798963181674, 199.94842639565468, 259.43444092199206, 297.4518250031397]",1171.2157967463136,-1,-1,-1.0,-1.0,-1,-1,-1.0
11,MM_other_title.started,[1.4825269896537066],1559.443579849787,1868.4549172427503,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[39.41348546277732, 82.11385059170425, 119.73138005193323, 156.07863050419837, 188.59566003456712, 221.96201565116644, 244.1107388343662]",1561.1804966330528,1508.727536279708,-1,-1,-1.0
14,MM_other_title.started,[1.4787010196596384],1917.3258549766613,2226.3333136066794,-1,-1,-1.0,-1,-1,-1.0,1895.95444748085,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.384664479643106, 89.70016581751406, 110.94912293925881, 117.88307516649365, 152.56627695914358, 154.51593714021146, 234.34834702592343, 246.84694144595414, 269.88121855072677, 277.14698854647577, 287.56405694037676, 294.99580517876893]",1919.0549634359777
16,MC_other_title.started,[1.4850268391892314],2274.41617842298,2583.427884472534,-1,-1,-1.0,-1,-1,-1.0,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.168003127910197, 46.66803877800703, 105.51634565554559, 123.05034297518432, 149.4835439575836, 172.81522153597325, 196.29967781435698, 219.16528715286404, 240.66557839605957, 261.91513793729246, 276.1313435770571, 301.4973324937746]",2276.166300214827
18,MM_self_title.started,[1.4894443713128567],2637.261298909784,2946.2777741476893,"['1', '1', '1', '1', '1', '1']","[113.10471618827432, 136.02122616767883, 165.33257140405476, 198.41457193903625, 282.9022226417437, 295.78054457809776]",2638.761254339479,-1,-1,-1.0,-1.0,-1,-1,-1.0
20,MC_self_title.started,[1.4892000909894705],3003.089737453498,3312.1069338759407,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[18.85218179784715, 44.217846295796335, 69.26837666053325, 87.10054065007716, 109.4218258773908, 118.85449249111116, 135.81993119604886, 149.72138012945652, 166.78333598189056, 185.16426052618772, 198.67091150581837, 214.05021405685693, 240.50445898156613, 256.86313056293875, 277.4323153430596, 303.46535788848996]",3004.589117174968,-1,-1,-1.0,-1.0,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0
